id,answer,content_score,relevance_score,vocabulary_score,structure_score,overall_score,label
1,"Myself Priya.",1,1,1,1,1.00,Poor
2,"I am Rahul. I am from Bihar.",1,1,2,1,1.25,Poor
3,"I don't know what to say.",1,1,1,1,1.00,Poor
4,"I like playing cricket and watching movies on weekends.",1,2,2,1,1.50,Poor
5,"My name is Amit Kumar. I have done 12th.",1,2,2,1,1.50,Poor
6,"I am a hardworking person.",1,2,2,1,1.50,Poor
7,"I am Sneha. I completed my graduation. That's it.",1,2,2,1,1.50,Poor
8,"Sir I am very interested in this job.",1,2,2,1,1.50,Poor
9,"I am Karan. I am 22 years old. I like computers.",1,2,2,1,1.50,Poor
10,"Myself Ankit Sharma from Jaipur.",1,1,1,1,1.00,Poor
11,"I have done B.Tech. I want job.",1,2,1,1,1.25,Poor
12,"I am a good team player and hardworking.",1,2,2,1,1.50,Poor
13,"I don't have much experience but I am a fast learner.",1,2,2,1,1.50,Poor
14,"I completed engineering last year. My hobbies are listening music and cooking.",1,2,2,1,1.50,Poor
15,"My name is Deepak. I studied computer. I am looking for opportunity.",1,2,2,1,1.50,Poor
16,"I am fresher. I want to work in good company.",1,2,2,1,1.50,Poor
17,"Hmm... I am Pooja. I have done MBA. I like to work.",1,2,2,1,1.50,Poor
18,"I am very passionate and dedicated towards my work.",1,2,2,1,1.50,Poor
19,"I have done diploma in mechanical. My father is also engineer.",1,1,2,1,1.25,Poor
20,"My name is Ravi. I am from small village in UP. I want to grow.",1,1,2,1,1.25,Poor
21,"I am Neha. I studied till graduation. I have no work experience.",1,2,2,1,1.50,Poor
22,"I enjoy solving problems. I am good student.",1,2,2,1,1.50,Poor
23,"I completed BCA from local college. Not much to say about myself.",1,2,2,1,1.50,Poor
24,"I am Mohit. Sorry I am little nervous. I did civil engineering.",1,2,2,1,1.50,Poor
25,"I have some skills in computer. I know little bit of everything.",1,2,2,1,1.50,Poor
