id,answer,content_score,relevance_score,vocabulary_score,structure_score,overall_score,label
1,I am hardworking.,1,1,1,1,1.0,Poor
2,I will do my best always.,1,1,1,1,1.0,Poor
3,I want this job very much.,1,1,1,1,1.0,Poor
4,I am honest and sincere.,1,1,1,1,1.0,Poor
5,I need this job.,1,1,1,1,1.0,Poor
6,I am a fast learner.,1,1,2,1,1.25,Poor
7,Sir I am very dedicated.,1,1,1,1,1.0,Poor
8,I will work hard.,1,1,1,1,1.0,Poor
9,Because I am good.,1,1,1,1,1.0,Poor
10,I am sincere and will do my duties.,1,1,1,1,1.0,Poor
11,I want to grow with your company.,1,1,2,1,1.25,Poor
12,I am always on time and honest.,1,1,1,1,1.0,Poor
13,I can do anything you ask.,1,1,1,1,1.0,Poor
14,I have good attitude.,1,1,1,1,1.0,Poor
15,Because I really want to work here.,1,1,1,1,1.0,Poor
16,I give 100 percent always.,1,1,1,1,1.0,Poor
17,I am loyal and committed.,1,1,2,1,1.25,Poor
18,I will not let you down.,1,1,1,1,1.0,Poor
19,I am a good person.,1,1,1,1,1.0,Poor
20,I have completed my degree.,1,1,1,1,1.0,Poor
21,I am very interested in this role.,1,1,2,1,1.25,Poor
22,I can learn anything quickly sir.,1,1,1,1,1.0,Poor
23,I like this company very much.,1,1,1,1,1.0,Poor
24,Because I need experience.,1,1,1,1,1.0,Poor
25,I will always try my best here.,1,1,1,1,1.0,Poor
