id,answer,content_score,relevance_score,vocabulary_score,structure_score,overall_score,label
1,"My three years in talent acquisition have given me experience sourcing candidates across technology and business roles. I have reduced time to hire significantly through structured screening processes and better sourcing channels. I believe my hiring process expertise will help you scale your team efficiently.",4,3,3,3,3.35,Good
2,"I have a background in electrical engineering with two years working on EV charging infrastructure. I have been involved in installation commissioning and troubleshooting of AC and DC chargers. I think my domain expertise is well aligned with your expansion in sustainable energy products.",4,4,3,3,3.6,Good
3,"My experience in growth marketing includes running lifecycle campaigns for a D2C brand over two years. I have used tools like CleverTap and MoEngage to segment users and personalize communication. I believe this hands on experience with retention marketing will complement your team.",4,4,3,3,3.6,Good
4,"I have spent four years in the telecommunications sector in network planning and optimization. I have experience analyzing KPIs and recommending parameter changes to improve network quality. I think my technical depth in RF planning will be valuable to your network engineering team.",4,3,3,3,3.35,Good
5,"My background in Python based machine learning includes developing a churn prediction model at a subscription business that achieved an AUC of 0.87 on hold out data. I have also worked on feature engineering and model deployment using Flask. I believe I can make an immediate contribution to your ML team.",4,4,3,4,3.7,Good
6,"I have worked as a legal associate for three years specializing in commercial contracts and dispute resolution. I have drafted and reviewed agreements for technology and real estate clients. I think my transactional legal experience will be valuable for your in house legal team.",4,3,3,3,3.35,Good
7,"My experience in social media management includes handling accounts with a combined following of over five hundred thousand for a media company. I have developed content calendars and managed creator collaborations. I think my platform expertise and audience understanding are relevant to your brand objectives.",4,3,3,3,3.35,Good
8,"I have spent three years in the pharmaceutical sector in regulatory affairs. I have prepared dossiers for new drug applications and liaised with CDSCO for approvals. I believe my regulatory knowledge will help your product registration pipeline move faster.",4,3,3,3,3.35,Good
9,"My background in database administration includes three years managing Oracle and MySQL databases for a mid size manufacturing company. I have handled backup strategies index optimization and database migration projects. I think my DBA experience will be immediately useful to your infrastructure team.",4,3,3,3,3.35,Good
10,"I have two years of experience in logistics and freight forwarding. I coordinate multimodal shipments and handle documentation like bills of lading and customs clearance. I believe my operational knowledge of international trade will support your supply chain function.",4,3,3,3,3.35,Good
11,"My experience in product analytics includes two years at an edtech platform where I used Mixpanel and Amplitude to understand user behaviour and inform feature decisions. I have presented findings to product leadership regularly. I believe my analytics background bridges well between data and product.",4,4,3,3,3.6,Good
12,"I have a background in business analysis with three years working in insurance technology. I have translated business requirements into functional specifications and managed stakeholder workshops. I think my structured approach to problem definition will add value to your business process improvement team.",4,3,3,3,3.35,Good
13,"My work in environmental engineering includes conducting environmental impact assessments and helping clients meet pollution control board norms. I have two years of field and documentation experience. I think your sustainability team will benefit from my regulatory and assessment background.",4,3,3,3,3.35,Good
14,"I have spent two years as an operations analyst at a bank where I handled process mapping and efficiency improvement projects. I helped reduce processing time for loan applications. I believe my analytical approach to operations improvement is aligned with your transformation goals.",4,4,3,3,3.6,Good
15,"My experience in fashion retail buying includes three years managing a private label collection from sampling through to production. I have worked with vendors in India and Bangladesh. I believe my end to end product development exposure will contribute to your merchandising team.",4,3,3,3,3.35,Good
16,"I have a background in network security with two years of experience configuring firewalls VPNs and intrusion detection systems. I have also participated in tabletop incident response exercises. I think my practical security experience fits your infrastructure protection needs.",4,3,3,3,3.35,Good
17,"My experience in treasury and cash management includes three years at a listed manufacturing company. I manage daily cash flows banking relationships and forex hedging. I believe my treasury operations knowledge will strengthen your finance team.",4,3,3,3,3.35,Good
18,"I have spent two years as a technical writer documenting APIs and developer guides for a software company. I have worked closely with engineering teams and can bridge communication between technical and non technical audiences. I think my documentation skills will improve your product adoption.",4,3,3,3,3.35,Good
19,"My background in industrial design includes designing packaging solutions for three fast moving consumer goods clients during a two year agency role. I have worked from concept sketching through prototyping to production ready files. I believe my design process and material knowledge will add value here.",4,3,3,3,3.35,Good
20,"I have worked as a data scientist for three years building models for customer retention in a telecom company. I have experience with ensemble methods and time series forecasting. My work contributed to reducing churn by eleven percent. I believe I can replicate this kind of impact in your organization.",4,4,3,4,3.7,Good
