1,"My background is in software engineering, and I have focused on learning Node.js and Python, along with SQL. I worked on an internal task tracker, which helped me understand how to apply these skills in a practical way. My goal is to build a solid career in this field and take on more responsibility over time.",4,3,3,5,3.65,Good
2,"I recently completed my background in mechanical engineering, and during that time I became comfortable with basic Python and problem solving. I worked on a small design optimization project, which helped me understand how to apply these skills in a practical way. In the next few years I want to become someone people can rely on for both execution and problem solving.",3,3,4,4,3.40,Good
3,"My background is in electronics and communication, where I built my basics in embedded systems and Arduino. One project I enjoyed was a line follower robot, and it gave me good exposure to real problem solving. I want to start in a role where I can learn from a strong team and keep growing steadily.",3,4,5,3,3.75,Good
4,"My background is in product management, and I have focused on learning SQL and user research, and I also picked up cross-functional work. I had a chance to work on a feature discovery project, and that made me more confident about using my skills. In the next few years I want to become someone people can rely on for both execution and problem solving.",4,4,3,3,3.60,Good
5,"My background is in product management, where I built my basics in SQL and cross-functional work, and I also picked up user research. I also completed a user onboarding improvement study, where I learned how to work in a structured way. I want to start in a role where I can learn from a strong team and keep growing steadily.",4,4,4,3,3.85,Good
6,"I am a fresher with a background in product management, and I have focused on learning user research and analytics, along with cross-functional work. I also completed a retention analysis initiative, where I learned how to work in a structured way. Most of my experience is still at an early stage, but I am serious about building in this area. I like work that gives me a chance to combine technical understanding with clear execution. I want to start in a role where I can learn from a strong team and keep growing steadily.",3,4,5,3,3.75,Good
7,"I am a business analyst, and I have focused on learning process mapping and requirements gathering. I also completed a process improvement case study, where I learned how to work in a structured way. I am not saying I know everything yet, but I am comfortable picking up work and learning quickly. I like work that gives me a chance to combine technical understanding with clear execution. My goal is to build a solid career in this field and take on more responsibility over time.",4,3,5,3,3.85,Good
8,"I am a fresher with a background in data analytics, and I have focused on learning Power BI and SQL, along with Python. I also completed a customer segmentation study, where I learned how to work in a structured way. I want to start in a role where I can learn from a strong team and keep growing steadily.",4,3,5,3,3.85,Good
9,"My background is in electronics and communication, where I built my basics in PCB basics and C. One project I enjoyed was a home automation project, and it gave me good exposure to real problem solving. I am not saying I know everything yet, but I am comfortable picking up work and learning quickly. I like work that gives me a chance to combine technical understanding with clear execution. I am looking for an opportunity where I can apply what I know and improve through hands-on work.",4,3,5,3,3.85,Good
10,"I recently completed my background in data analytics, and I have focused on learning data cleaning and Python, along with Excel. I worked on a churn analysis project, which helped me understand how to apply these skills in a practical way. I am not saying I know everything yet, but I am comfortable picking up work and learning quickly. Right now I am looking for a role where I can strengthen my fundamentals and contribute to real projects.",3,4,5,3,3.75,Good
11,"My background is in civil engineering, and during that time I became comfortable with AutoCAD and site coordination. I also completed a project scheduling model, where I learned how to work in a structured way. I enjoy learning by doing and I try to stay consistent with practice. In the next few years I want to become someone people can rely on for both execution and problem solving.",4,3,5,3,3.85,Good
12,"I am a fresher with a background in general, where I built my basics in basic SQL and communication. I had a chance to work on a process improvement assignment, and that made me more confident about using my skills. I am still learning, but I like taking feedback and improving step by step. I usually do well when the expectations are clear and I can keep improving with regular feedback. In the next few years I want to become someone people can rely on for both execution and problem solving.",3,3,5,4,3.65,Good
13,"I am from a data analytics background, and during that time I became comfortable with SQL and Excel. I worked on an operations reporting dashboard, which helped me understand how to apply these skills in a practical way. I want to start in a role where I can learn from a strong team and keep growing steadily.",3,3,4,4,3.40,Good
14,"My background is in product management, where I built my basics in user research and SQL. One project I enjoyed was a feature discovery project, and it gave me good exposure to real problem solving. Most of my experience is still at an early stage, but I am serious about building in this area. Right now I am looking for a role where I can strengthen my fundamentals and contribute to real projects.",5,3,3,3,3.70,Good
15,"I am a fresher with a background in product management, where I built my basics in user research and cross-functional work. I worked on a product experiment review, which helped me understand how to apply these skills in a practical way. I enjoy learning by doing and I try to stay consistent with practice. I have also done internship or team-based work where I had to manage deadlines and communicate updates clearly. I am looking for an opportunity where I can apply what I know and improve through hands-on work.",4,3,5,3,3.85,Good
16,"I recently completed my background in software engineering, and during that time I became comfortable with Node.js and JavaScript, along with Python. I also completed an e-commerce feature module, where I learned how to work in a structured way. I am still learning, but I like taking feedback and improving step by step. In the next few years I want to become someone people can rely on for both execution and problem solving.",4,3,5,3,3.85,Good
17,"I recently completed my background in general, and during that time I became comfortable with Excel and teamwork. One project I enjoyed was a process improvement assignment, and it gave me good exposure to real problem solving. I enjoy learning by doing and I try to stay consistent with practice. I want to start in a role where I can learn from a strong team and keep growing steadily.",4,3,3,5,3.65,Good
18,"I am from a self-taught background, where I built my basics in CSS and Git, and I also picked up React. One project I enjoyed was a to-do application, and it gave me good exposure to real problem solving. Right now I am looking for a role where I can strengthen my fundamentals and contribute to real projects.",4,4,3,3,3.60,Good
19,"I am a fresher with a background in general, and I have focused on learning Excel and basic SQL, and I also picked up communication. One project I enjoyed was a college team project, and it gave me good exposure to real problem solving. I am not saying I know everything yet, but I am comfortable picking up work and learning quickly. Right now I am looking for a role where I can strengthen my fundamentals and contribute to real projects.",3,4,5,3,3.75,Good
20,"I recently completed my background in product management, where I built my basics in analytics and SQL, along with cross-functional work. I had a chance to work on a feature discovery project, and that made me more confident about using my skills. Most of my experience is still at an early stage, but I am serious about building in this area. I have also done internship or team-based work where I had to manage deadlines and communicate updates clearly. Right now I am looking for a role where I can strengthen my fundamentals and contribute to real projects.",4,3,5,3,3.85,Good
21,"I am a data analyst, and I have focused on learning data cleaning and SQL. I had a chance to work on a churn analysis project, and that made me more confident about using my skills. I enjoy learning by doing and I try to stay consistent with practice. I want to start in a role where I can learn from a strong team and keep growing steadily.",3,4,5,3,3.75,Good
22,"I am a fresh graduate, and I have focused on learning problem solving and Excel. I worked on a college team project, which helped me understand how to apply these skills in a practical way. I enjoy learning by doing and I try to stay consistent with practice. In the next few years I want to become someone people can rely on for both execution and problem solving.",4,3,3,5,3.65,Good
